k, ref, test, p, z, s, cost, #edges, #nodes
None, 0.0, 10000, 0.48520010600151037, -0.10228705949366469, 1.0, 4368.82551508789, 50005000, 10000
5, 0.0, 10000, 0.46234590711332046, -0.17683885821378414, 0.6376, 887.7902449699985, 59919, 10000
10, 0.0, 10000, 0.35562064588210585, -0.450309232137329, 0.7228, 1074.271094520117, 109783, 10000
20, 0.0, 10000, 0.2288311998971456, -0.8235222759195472, 0.8582, 1211.4806457249276, 209362, 10000
50, 0.0, 10000, 0.26113076866676804, -0.7128568686663195, 0.9928, 1507.2784711175345, 507248, 10000
100, 0.0, 10000, 0.24260591303409115, -0.7718571464836486, 1.0, 1822.2414889648437, 1001309, 10000
500, 0.0, 10000, 0.15321053703956553, -1.1066421899786405, 1.0, 2584.501084692383, 4856626, 10000
1000, 0.0, 10000, 0.35589022002752513, -0.4370721029886566, 1.0, 2942.4344823242186, 9456372, 10000
5000, 0.0, 10000, 0.41926046492603314, -0.26967958124116065, 1.0, 3878.0400052734376, 37294103, 10000
None, 0.0, 10000, 0.00027976889341583416, -3.6416674253736856, 1.0, 4053.5252829589845, 200010000, 20000
5, 0.0, 10000, 0.05083882650276194, -1.738379718735057, 0.6222, 945.0126814221462, 119835, 20000
10, 0.0, 10000, 0.01846084669756307, -2.2070470634815886, 0.6975, 1047.3542184612315, 219650, 20000
20, 0.0, 10000, 0.03156521342741971, -1.956543610690716, 0.8106, 1095.0425180566479, 419112, 20000
50, 0.0, 10000, 1.836944784427305e-05, -4.38198331231386, 0.9582, 1315.0781095787818, 1016558, 20000
100, 0.0, 10000, 0.016663880513724062, -2.2303643562332183, 1.0, 1525.4381649536133, 2009435, 20000
500, 0.0, 10000, 0.0026036067288221446, -2.9360158908034517, 1.0, 2128.502002734375, 9848885, 20000
1000, 0.0, 10000, 0.0587104425201594, -1.6423214107580233, 1.0, 2429.2623151000976, 19416335, 20000
5000, 0.0, 10000, 2.0792884095819e-05, -4.3473189599439195, 1.0, 3249.3151681640625, 87052321, 20000
