k, ref, test, p, z, s, cost, #edges, #nodes
None, 0.0, 1000, 0.9999999999999895, 0.3295794598890221, 1.0, 951.625439453125, 5050, 100
None, 0.0, 1000, 0.45814020919069437, -0.3487003767677022, 1.0, 2712.753533203125, 125250, 500
None, 0.0, 1000, 0.07512441621653676, -1.8558771249336852, 1.0, 2004.966960205078, 500500, 1000
5, 0.0, 1000, 0.28146820157140884, -0.8999613519858441, 0.714, 656.4753036712732, 5970, 1000
10, 0.0, 1000, 0.3200588884514183, -0.7656354728999163, 0.86, 711.5277562341025, 10902, 1000
20, 0.0, 1000, 0.7091388019679602, 0.2655633847225642, 0.986, 832.3298529263201, 20698, 1000
50, 0.0, 1000, 0.42263790102089716, -0.45608758336422545, 1.0, 1034.9724409179687, 49514, 1000
100, 0.0, 1000, 0.7013070204882241, 0.24380718742050442, 1.0, 1203.3695588378907, 95477, 1000
None, 0.0, 1000, 0.3805308989564587, -0.448629820719854, 1.0, 3219.6442625, 3126250, 2500
5, 0.0, 1000, 0.5919384341157965, 0.048194674956638754, 0.6888, 723.9091109254773, 14951, 2500
10, 0.0, 1000, 0.8377597152058869, 0.7756810350627519, 0.7984, 952.3212205661323, 27367, 2500
20, 0.0, 1000, 0.5469416079516851, -0.03044402200293049, 0.936, 1167.4534475994926, 52112, 2500
50, 0.0, 1000, 0.2551120632812517, -0.816815673586491, 1.0, 1517.0801190917969, 125683, 2500
100, 0.0, 1000, 0.5241715811760586, -0.08044396785321711, 1.0, 1749.0122573242188, 246294, 2500
500, 0.0, 1000, 0.3805308989564587, -0.448629820719854, 1.0, 2380.6769693359374, 1121649, 2500
1000, 0.0, 1000, 0.796168476985536, 0.6559277378800568, 1.0, 2702.462930859375, 1991740, 2500
None, 0.0, 1000, 0.3796973554515681, -0.40912557891922713, 1.0, 2635.791873144531, 12502500, 5000
5, 0.0, 1000, 0.7934432394785453, 0.6725812650110661, 0.676, 781.0380077113766, 29947, 5000
10, 0.0, 1000, 0.3964811653070431, -0.3810442893013799, 0.776, 834.0094032208945, 54869, 5000
20, 0.0, 1000, 0.07001307114984857, -1.644977794933987, 0.8968, 906.4385987689302, 104588, 5000
50, 0.0, 1000, 0.20827880145892919, -0.9316648658423763, 1.0, 1076.5032833251953, 252841, 5000
100, 0.0, 1000, 0.09590067502958952, -1.4542041527655256, 1.0, 1211.970903466797, 497941, 5000
500, 0.0, 1000, 0.4810013932197274, -0.14785593545765252, 1.0, 1688.1141293945313, 2367666, 5000
1000, 0.0, 1000, 0.8488059172919868, 0.8972226383886458, 1.0, 1916.2830783691406, 4484559, 5000
None, 0.0, 1000, 0.10960593947429859, -1.3228786775493693, 1.0, 3791.801261035156, 50005000, 10000
5, 0.0, 1000, 0.021061480033174543, -2.207305825057882, 0.6592, 882.4587331605189, 59907, 10000
10, 0.0, 1000, 0.05392134768850971, -1.7444092746783701, 0.7378, 1091.453379167002, 109795, 10000
20, 0.0, 1000, 0.28124709023803146, -0.6583825851963333, 0.861, 1246.7007272470012, 209416, 10000
50, 0.0, 1000, 0.1688271402642048, -1.0425829069825463, 0.995, 1485.203913022142, 507325, 10000
100, 0.0, 1000, 0.08195591704867053, -1.4940747417028166, 1.0, 1701.5809952636719, 1001263, 10000
500, 0.0, 1000, 0.23181095429818713, -0.8092904850890272, 1.0, 2257.226036328125, 4860201, 10000
1000, 0.0, 1000, 0.009264147204290049, -2.5212511266235005, 1.0, 2563.331702368164, 9461904, 10000
5000, 0.0, 1000, 0.285789630035465, -0.63809442093558, 1.0, 3349.6829688476564, 37312772, 10000
None, 0.0, 1000, 0.10429285354753981, -1.329048858723254, 1.0, 3761.4462486083985, 200010000, 20000
5, 0.0, 1000, 0.1898453914176888, -0.9565073493004389, 0.6261, 731.9067658596651, 119839, 20000
10, 0.0, 1000, 0.3260973785306219, -0.5133016277973228, 0.6995, 773.0261250101216, 219665, 20000
20, 0.0, 1000, 0.3459797127423466, -0.4531218497515057, 0.8201, 916.2864447534266, 419099, 20000
50, 0.0, 1000, 0.10507377448343207, -1.3259699622228112, 0.9608, 1145.1706086602635, 1016265, 20000
100, 0.0, 1000, 0.8487902426555715, 0.9661914733575451, 1.0, 1323.9699253784179, 2008632, 20000
500, 0.0, 1000, 0.5991720649431572, 0.20111136266394541, 1.0, 1872.4521233154296, 9849525, 20000
1000, 0.0, 1000, 0.04032408437786519, -1.8391022658523204, 1.0, 2153.013557312012, 19422909, 20000
5000, 0.0, 1000, 0.05206552626428905, -1.7115889140700538, 1.0, 2932.3201019287108, 87077400, 20000
