k,n_obs,n_var,n_edges,t_NN [s],t_matching [s],Peak Memory [MB] kNN,Peak Memory [MB] matching
10,500,500,4737,23.146354,0.018946,191.86,194.43
10,500,2000,4917,23.180829,0.009157,157.61,158.71
10,500,10,4194,23.210619,0.012090,158.32,161.34
10,500,1000,4826,23.231043,0.008483,167.80,168.83
20,500,2000,8831,23.151430,0.026907,161.72,164.72
20,500,10,7818,23.182684,0.028555,159.05,160.89
20,500,500,8604,23.201748,0.011894,189.64,191.49
20,500,1000,8749,23.274316,0.012907,162.84,165.74
50,500,500,19654,23.214142,0.038982,187.95,190.68
50,500,1000,19979,23.370863,0.018630,159.83,161.71
50,500,2000,19855,23.378839,0.018342,154.60,155.74
50,500,10,18664,23.428194,0.021490,157.71,161.45
100,500,500,36786,23.372777,0.045703,186.61,188.72
100,500,2000,37111,23.462335,0.027740,153.80,157.83
100,500,10,35210,23.571215,0.023185,161.01,164.00
100,500,1000,36893,23.561616,0.030078,160.79,164.22
200,500,500,66126,23.554418,0.059643,186.69,188.57
200,500,2000,66986,23.679254,0.043648,156.40,157.64
200,500,10,65187,23.765636,0.037126,163.60,167.77
200,500,1000,66266,23.823363,0.045718,163.40,164.72
None,500,2000,125250,0,0.206328,0,4.48
None,500,10,125250,0,0.089173,0,20.81
None,500,1000,125250,0,0.152521,0,3.20
None,500,500,125250,0,0.141135,0,10.88
