k, ref, test, p, z, s, cost, #edges, #nodes
None, 0.0, 100, 0.9999999999999853, 1.0055978046252896, 1.0, 761.17115234375, 5050, 100
None, 0.0, 100, 0.1384759713613571, -1.468433824640168, 1.0, 2634.2332685546876, 125250, 500
None, 0.0, 100, 0.37194952786078755, -0.5430988407301075, 1.0, 2003.3552268066405, 500500, 1000
5, 0.0, 100, 0.6766148301634056, 0.16629948987500068, 0.692, 763.4147107780324, 5962, 1000
10, 0.0, 100, 0.7830037662970376, 0.4828697193796363, 0.834, 837.051293974586, 10889, 1000
20, 0.0, 100, 0.5549541171339261, -0.07651084514138036, 0.992, 904.8215121607626, 20689, 1000
50, 0.0, 100, 0.03580182886292454, -2.1872071494857916, 1.0, 1038.3378211669922, 49473, 1000
100, 0.0, 100, 0.20032540415081518, -1.0911349436486688, 1.0, 1192.3564615478515, 95470, 1000
None, 0.0, 100, 0.8203040974708843, 0.7395819421410841, 1.0, 3228.11484375, 3126250, 2500
5, 0.0, 100, 0.6318965266130594, 0.16526098417468768, 0.7008, 1342.9595784226508, 14960, 2500
10, 0.0, 100, 0.10495435847880384, -1.4756914064811402, 0.8016, 1408.1106860985062, 27387, 2500
20, 0.0, 100, 0.325448877526718, -0.6052267003245115, 0.9392, 1437.7790313668713, 52112, 2500
50, 0.0, 100, 0.28783165608303335, -0.711412392110014, 0.9992, 1526.5923049474736, 125558, 2500
100, 0.0, 100, 0.9069225139094099, 1.103046106036967, 1.0, 1733.2600484375, 246122, 2500
500, 0.0, 100, 0.959798488164167, 1.4665102699328498, 1.0, 2406.573559472656, 1121311, 2500
1000, 0.0, 100, 0.959798488164167, 1.4665102699328498, 1.0, 2724.7357583984376, 1992154, 2500
None, 0.0, 100, 0.09098762083833195, -1.4900533530858686, 1.0, 2921.5382002929687, 12502500, 5000
5, 0.0, 100, 0.37574700487648427, -0.44303847330869545, 0.6488, 755.3527365800926, 29940, 5000
10, 0.0, 100, 0.9901082469408924, 1.992126559077102, 0.754, 857.3508809785312, 54859, 5000
20, 0.0, 100, 0.8380942974530772, 0.8453346281502517, 0.8856, 931.0598521107688, 104551, 5000
50, 0.0, 100, 0.6910155665354509, 0.38803752270326475, 1.0, 1149.944121459961, 252766, 5000
100, 0.0, 100, 0.7819657607659593, 0.6563362192445695, 1.0, 1332.4546650146485, 497748, 5000
500, 0.0, 100, 0.3777116828711894, -0.41685856692064954, 1.0, 1872.0481944335938, 2369111, 5000
1000, 0.0, 100, 0.2833839576268327, -0.6851572634619543, 1.0, 2156.383853564453, 4482810, 5000
None, 0.0, 100, 0.4906373287349125, -0.09470702036560762, 1.0, 3789.1766774414064, 50005000, 10000
5, 0.0, 100, 0.2710084522519075, -0.7086259730067405, 0.6362, 848.7812702043444, 59881, 10000
10, 0.0, 100, 0.5996452845292222, 0.16667459131091156, 0.7162, 883.3111884514735, 109746, 10000
20, 0.0, 100, 0.16184494820444886, -1.0885899409390847, 0.8424, 1017.8308784796415, 209312, 10000
50, 0.0, 100, 0.5412573682160218, 0.031760204284391844, 0.9876, 1265.6986703235352, 507142, 10000
100, 0.0, 100, 0.4906373287349125, -0.09470702036560762, 1.0, 1494.9764444335938, 1001104, 10000
500, 0.0, 100, 0.5646678936182931, 0.0909744495629537, 1.0, 2134.6188772705077, 4862259, 10000
1000, 0.0, 100, 0.5646678936182931, 0.0909744495629537, 1.0, 2426.259200390625, 9465652, 10000
5000, 0.0, 100, 0.6370705612629007, 0.276655919491515, 1.0, 3167.2977248046873, 37330929, 10000
None, 0.0, 100, 0.7803514584639106, 0.7145879087471501, 1.0, 4646.669674438476, 200010000, 20000
5, 0.0, 100, 0.13597380924933936, -1.1841952885722047, 0.6189, 1199.405280399985, 119861, 20000
10, 0.0, 100, 0.4702588657484527, -0.1341711630758434, 0.6868, 1241.963396013512, 219676, 20000
20, 0.0, 100, 0.014589418376080694, -2.3123996216217093, 0.8022, 1325.255371755687, 419128, 20000
50, 0.0, 100, 0.046401182408198335, -1.7729889429908117, 0.9576, 1427.462191576149, 1016258, 20000
100, 0.0, 100, 0.038061467919260045, -1.8684731451938978, 1.0, 1711.4129331115723, 2008664, 20000
500, 0.0, 100, 0.5981700226585379, 0.1979756979589405, 1.0, 2473.3639958984377, 9848848, 20000
1000, 0.0, 100, 0.7393626095603525, 0.5854348560500977, 1.0, 2809.0345033447265, 19420924, 20000
5000, 0.0, 100, 0.9832469743827544, 2.0061184357176742, 1.0, 3719.282866455078, 87091098, 20000
