k, ref, test, p, z, s, cost, #edges, #nodes
None, 0.0, 10000.0, 1.0000000000000036, 0.4879329271267452, 1.0, 1386.24197265625, 5050, 100
None, 0.0, 10000.0, 0.34376103516014045, -0.7059484151756062, 1.0, 1716.044224609375, 125250, 500
None, 0.0, 10000.0, 0.13888948164237475, -1.331023381665655, 1.0, 2847.267409667969, 500500, 1000
5, 0.0, 10000.0, 0.0635591564085635, -1.8752842955639313, 0.744, 823.4693588749055, 5968, 1000
10, 0.0, 10000.0, 0.7041299320724204, 0.31545757648785294, 0.832, 957.3658727499155, 10906, 1000
20, 0.0, 10000.0, 0.4351101822823229, -0.35469502025599986, 0.998, 1176.427628083315, 20678, 1000
50, 0.0, 10000.0, 0.4330567967575554, -0.36009066294788233, 1.0, 1547.220292602539, 49457, 1000
100, 0.0, 10000.0, 0.6259425596072061, 0.12537569641100396, 1.0, 1814.9258728027344, 95384, 1000
None, 0.0, 10000.0, 0.22628039475636072, -0.9037887646645526, 1.0, 3227.7530279296875, 3126250, 2500
5, 0.0, 10000.0, 0.0001753982623681024, -4.165837591492653, 0.6744, 873.6048888798144, 14963, 2500
10, 0.0, 10000.0, 0.029763022316789386, -2.155129680269401, 0.7968, 1029.9335645193078, 27378, 2500
20, 0.0, 10000.0, 0.08467700124714009, -1.5814458773840816, 0.928, 1265.252831820784, 52133, 2500
50, 0.0, 10000.0, 0.0007539035514144576, -3.6377190087519717, 1.0, 1523.2974349121093, 125860, 2500
100, 0.0, 10000.0, 0.010739333153721439, -2.6124951672191896, 1.0, 1718.9942829101562, 246337, 2500
500, 0.0, 10000.0, 0.4650003079636826, -0.22030620364269776, 1.0, 2383.249344824219, 1121729, 2500
1000, 0.0, 10000.0, 0.14183881595941875, -1.24553004517548, 1.0, 2703.355013769531, 1990256, 2500
None, 0.0, 10000.0, 0.01418032807302461, -2.414117774504151, 1.0, 3803.167916113281, 12502500, 5000
5, 0.0, 10000.0, 0.20429911256202363, -0.9765546160803799, 0.6444, 981.5079096788801, 29941, 5000
10, 0.0, 10000.0, 0.2998252436235413, -0.6469916711576601, 0.7444, 1042.0989591095283, 54841, 5000
20, 0.0, 10000.0, 0.5174499276606545, -0.06203735417795278, 0.8704, 1285.6095268586103, 104527, 5000
50, 0.0, 10000.0, 0.10086988092086208, -1.4165624642401549, 1.0, 1581.0877654296876, 252928, 5000
100, 0.0, 10000.0, 0.0041790664720999455, -2.912895429636149, 1.0, 1876.2588569335937, 497939, 5000
500, 0.0, 10000.0, 0.04101667844184427, -1.915340119372153, 1.0, 2580.368856298828, 2366555, 5000
1000, 0.0, 10000.0, 0.28653503876151953, -0.668395981542158, 1.0, 2926.6316109863283, 4477582, 5000
None, 0.0, 10000.0, 0.17185304915673244, -1.0241907880992407, 1.0, 3630.267661425781, 50005000, 10000
5, 0.0, 10000.0, 0.03774007266411429, -1.9210788879150305, 0.6492, 833.1066151617194, 59922, 10000
10, 0.0, 10000.0, 0.3491726936739691, -0.46425324255186595, 0.733, 914.5062038364384, 109802, 10000
20, 0.0, 10000.0, 0.05449947506134705, -1.7175631815946837, 0.8566, 1047.8156308484306, 209416, 10000
50, 0.0, 10000.0, 0.09757479978930937, -1.3858701010893495, 0.995, 1296.8663613845595, 507253, 10000
100, 0.0, 10000.0, 0.004612668988789678, -2.7750412791195602, 1.0, 1530.1410832397462, 1000779, 10000
500, 0.0, 10000.0, 0.0004302722431995102, -3.5708824114015236, 1.0, 2105.0051802001954, 4856721, 10000
1000, 0.0, 10000.0, 0.004612668988789678, -2.7750412791195602, 1.0, 2415.601928881836, 9459097, 10000
