k,n_obs,n_var,n_edges,t_NN [s],t_matching [s],Peak Memory [MB] kNN,Peak Memory [MB] matching,s
10,50000,2000,538547,29.871190,53.816778,2588.80,2592.80,0.77504
10,50000,1000,535727,27.732060,60.077158,1490.14,1494.37,0.829
10,50000,500,533218,27.035763,67.073257,821.02,825.27,0.88476
10,50000,10,415241,26.007949,140.037922,379.21,394.77,0.99996
20,50000,1000,1018935,29.894471,73.875180,1144.60,1148.49,0.8806
20,50000,500,1013959,29.207452,77.943429,783.66,787.81,0.9312
20,50000,10,782108,27.717262,189.267421,472.26,488.32,0.99996
20,50000,2000,1021047,31.984089,71.314901,2045.39,2049.12,0.85736
50,50000,1000,2416350,37.002209,94.690478,1415.35,1419.57,0.9834
50,50000,2000,2426060,42.263104,89.671830,1784.16,1788.50,0.98428
50,50000,10,1885757,32.943476,192.818520,826.01,859.34,1.0
50,50000,500,2394728,34.957803,93.263050,1095.53,1061.67,0.99732
100,50000,1000,4707805,50.127191,97.679801,1778.56,1763.79,0.9918
100,50000,500,4659875,45.655220,101.043631,1535.81,1502.03,0.99716
100,50000,2000,4719778,61.202924,95.646303,2105.78,2090.52,0.99384
100,50000,10,3733959,43.845478,195.376975,1349.53,1326.16,1.0
200,50000,500,9061073,71.732613,114.870098,2220.98,2225.49,0.99812
200,50000,1000,9156007,79.287487,110.267385,2612.35,2616.69,0.99668
200,50000,2000,9215769,104.270482,112.951930,2892.63,2897.11,0.9948
200,50000,10,7443323,58.757287,289.857422,1911.19,1915.38,1.0
500,50000,500,21902995,160.635699,162.342247,3530.61,3534.60,0.99944
500,50000,1000,22068263,184.821256,168.048833,3116.08,3120.43,0.9986
500,50000,10,18542877,124.046802,286.558489,2206.15,2210.96,1.0
500,50000,2000,22142145,236.279833,168.157391,3848.98,3853.02,0.99888
1000,50000,500,42539051,314.633416,271.034358,1927.16,3256.43,0.99992
1000,50000,1000,42810216,360.201827,230.278941,2339.64,2324.66,0.9998
1000,50000,10,36889946,274.954715,406.198463,1861.48,2804.46,1.0
1000,50000,2000,42957276,467.931236,246.014213,3358.50,3458.86,0.99988
2000,50000,500,82330790,805.055680,448.647854,3038.53,5820.69,0.99996
2000,50000,1000,82636281,885.242058,390.920650,3380.98,3385.77,0.99996
2000,50000,10,73092074,742.606455,605.416435,2888.90,5197.88,1.0
2000,50000,2000,83156688,1052.476912,400.108476,3765.41,6455.44,0.99992
5000,50000,500,193227723,3696.762198,835.719361,6036.70,7849.05,1.0
5000,50000,1000,194371901,3833.638222,790.341300,6328.15,6331.87,1.0
5000,50000,2000,194727859,4158.495662,867.520105,6783.26,7452.18,0.99996
5000,50000,10,178495445,3686.261643,1658.891676,5823.33,7355.43,1.0
None,50000,500,1250025000,590.412676,4573.067674,19464.02,31992.14,1.0
None,50000,1000,1250025000,1068.765686,4596.894925,19845.54,24091.89,1.0
None,50000,10,1250025000,16.211696,14089.008898,19090.54,62311.68,1.0
None,50000,2000,1250025000,1848.087610,4894.023767,20608.73,28071.73,1.0
