k, ref, test, p, z, s, cost, #edges, #nodes
None, 0.0, 10, 1.0000000000000036, 0.4879329271267452, 1.0, 1281.9571643066406, 5050, 100
None, 0.0, 10, 0.21869343264617597, -1.0925343507953567, 1.0, 1899.5106362304687, 125250, 500
None, 0.0, 10, 0.372210632463198, -0.5654563627470591, 1.0, 2032.0318828125, 500500, 1000
5, 0.0, 10, 1.0000000000001406, 1.5966416337599714, 0.734, 714.3757871373148, 5965, 1000
10, 0.0, 10, 0.32230818501821457, -0.7182335183626315, 0.864, 829.6568371808088, 10904, 1000
20, 0.0, 10, 1.000000000000212, 1.9175164507550588, 0.988, 935.271014997351, 20689, 1000
50, 0.0, 10, 0.372210632463198, -0.5654563627470591, 1.0, 1102.928294067383, 49490, 1000
100, 0.0, 10, 0.9648283954780514, 1.2866449696605184, 1.0, 1274.5137955322266, 95551, 1000
None, 0.0, 10, 0.25681197477896156, -0.818495837914321, 1.0, 4069.9271771484373, 3126250, 2500
5, 0.0, 10, 0.6164585266988114, 0.11205353463980777, 0.7016, 1209.5699737792413, 14956, 2500
10, 0.0, 10, 0.23967393837747797, -0.8997133919464648, 0.8, 1364.0989193725586, 27364, 2500
20, 0.0, 10, 0.4092616039910223, -0.3861336977941047, 0.9448, 1582.5155863426783, 52110, 2500
50, 0.0, 10, 0.5408036166122252, -0.04503352029364144, 1.0, 1916.5962196289063, 125547, 2500
100, 0.0, 10, 0.389163381362611, -0.4317646791039812, 1.0, 2236.4199877929686, 246098, 2500
500, 0.0, 10, 0.0859307447513585, -1.5919581555350004, 1.0, 3091.271902832031, 1121646, 2500
1000, 0.0, 10, 0.0859307447513585, -1.5919581555350004, 1.0, 3459.986034765625, 1990569, 2500
None, 0.0, 10, 0.5847929748404993, 0.11476231791372081, 1.0, 3066.66240234375, 12502500, 5000
5, 0.0, 10, 0.4710269126916889, -0.20078031330965052, 0.6676, 827.8860834577684, 29939, 5000
10, 0.0, 10, 0.6543476917003997, 0.27508912356518433, 0.752, 925.4547610019116, 54824, 5000
20, 0.0, 10, 0.3540942652073153, -0.48548910409011964, 0.8852, 1028.818128803872, 104474, 5000
50, 0.0, 10, 0.013797012906828561, -2.4316062007312067, 1.0, 1173.6203380126954, 252609, 5000
100, 0.0, 10, 0.6823341694524051, 0.3693991697782135, 1.0, 1367.8561450439454, 497463, 5000
500, 0.0, 10, 0.15129110966765835, -1.1584219414087429, 1.0, 1923.0253174804689, 2368162, 5000
1000, 0.0, 10, 0.06586276702314052, -1.6676956451377283, 1.0, 2222.0535215820314, 4481235, 5000
None, 0.0, 10, 0.009126109271239757, -2.544948669128603, 1.0, 4994.9992740234375, 50005000, 10000
5, 0.0, 10, 0.9162599925016636, 1.238094222112068, 0.6554, 1223.0044964675974, 59898, 10000
10, 0.0, 10, 0.6781804883755193, 0.3729444631076312, 0.7276, 1315.6654061626248, 109777, 10000
20, 0.0, 10, 0.7232889390228499, 0.50585065056919, 0.8518, 1534.4842084610118, 209377, 10000
50, 0.0, 10, 0.8071978518074389, 0.7791946797457058, 0.9922, 1845.2848852642408, 507079, 10000
100, 0.0, 10, 0.06722000548739, -1.6145031079196133, 1.0, 2142.0886736083985, 1000709, 10000
500, 0.0, 10, 0.7583205540633878, 0.618566238981962, 1.0, 2974.718662890625, 4861314, 10000
1000, 0.0, 10, 0.8143158352934616, 0.8046553512237599, 1.0, 3382.7748583984376, 9465094, 10000
5000, 0.0, 10, 0.047295849011019755, -1.8005922201614113, 1.0, 4421.77634663086, 37311331, 10000
None, 0.0, 10, 0.632873198617108, 0.2853394383598707, 1.0, 5534.849929736328, 200010000, 20000
5, 0.0, 10, 0.3032928164033523, -0.5846548826843873, 0.6293, 1097.4263280058976, 119839, 20000
10, 0.0, 10, 0.636165453326256, 0.2854244182615252, 0.6946, 1214.04909072731, 219671, 20000
20, 0.0, 10, 0.899278583342598, 1.1915314664966175, 0.8079, 1433.5219343761241, 419114, 20000
50, 0.0, 10, 0.3982319457379543, -0.31223373089306733, 0.9538, 1757.2560570193527, 1016253, 20000
100, 0.0, 10, 0.36528009728608535, -0.39845084464143443, 1.0, 2056.6350279663084, 2008532, 20000
500, 0.0, 10, 0.3158333012978982, -0.5352089012416954, 1.0, 2799.9236356689453, 9846771, 20000
1000, 0.0, 10, 0.5798390318663501, 0.1485813817596097, 1.0, 3209.571821899414, 19418596, 20000
5000, 0.0, 10, 0.12586128941510186, -1.2189991842430006, 1.0, 4238.826064868164, 87058290, 20000
None, 0.0, 10, 0.606354728345186, 0.23530512903612966, 1.0, 5308.989527304688, 1250025000, 50000
5, 0.0, 10, 0.6671615110252892, 0.3857575770646941, 0.62056, 1028.9646571273577, 299653, 50000
10, 0.0, 10, 0.31430346697670863, -0.5278380228212882, 0.67752, 1043.380984637965, 549335, 50000
20, 0.0, 10, 0.37836025043313015, -0.35001715379314075, 0.77228, 1256.238203833004, 1048478, 50000
50, 0.0, 10, 0.9799820293874298, 1.969617560841353, 0.91404, 1459.5615412824905, 2544411, 50000
100, 0.0, 10, 0.04761256096417311, -1.7311303851217685, 0.98576, 1697.2979462829005, 5033778, 50000
500, 0.0, 10, 0.14720173554161484, -1.0936453216665718, 1.0, 2330.6607559472654, 24825374, 50000
1000, 0.0, 10, 0.6730667628574339, 0.4124985224631565, 1.0, 2664.141531044922, 49309829, 50000
5000, 0.0, 10, 0.5012980212042154, -0.030484961104410624, 1.0, 3615.996672138672, 236301320, 50000
