test_group; k; p; z; s; t
control; control; 2; 1.0; nan; 1.0; 1.956887
D1.5; control; 5; 1.639679396453247e-190; -27.078140601810688; 1.0; 38.214011
D2; control; 5; 2.5817963591192528e-238; -29.48087041471748; 1.0; 29.244769
D2.5; control; 5; 1.2641879327442107e-232; -29.227951487043082; 1.0; 32.341376
D3; control; 5; 1.3915468178922564e-270; -30.745465053089475; 1.0; 28.271662
D3.5; control; 5; 1.811029162527712e-286; -31.251302908438273; 1.0; 31.442522
D4; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 31.677599
D4.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 31.608333
D5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 31.438002
D5.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 37.193172
D6; control; 5; 2.6380185262164872e-298; -31.551608556474573; 0.999; 34.224187
D6.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 34.939837
D7; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 32.436798
D7.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 33.809562
D8; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 35.851154
D8.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 32.611459
D9; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 30.965143
D9.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 29.041811
D10; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 28.324631
D10.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 29.359168
D11; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 34.305267
D11.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 29.966779
D12; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 29.969389
D12.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 29.880908
D13; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 29.649167
D13.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 30.994853
D14; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 28.109223
D14.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 26.508486
D15; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 30.367101
D15.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 30.826489
D16; control; 5; 1.3176915741756612e-295; -31.488347106668325; 0.999; 29.053854
D16.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 27.114156
D17; control; 5; 1.811029162527712e-286; -31.251302908438273; 1.0; 29.747898
D17.5; control; 5; 1.0915076281039957e-290; -31.361824270443964; 0.999; 31.244423
D18; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 28.804293
control; control; 5; 1.0; nan; 1.0; 5.417693
