test_group,reference,k,p,z,s,d,N
[10.0],[10.0],100,0.8879677738842097,0.8008088279540275,0.9527106466361855,0.01,45931
[10.0],[10.0],100,0.1849288085611624,-0.9329299251075901,0.9527106466361855,0.1,45931
[10.0],[10.0],100,0.7082625918692554,0.5288438097705661,0.9527106466361855,0.2,45931
[10.0],[10.0],100,0.6638174517787064,0.40756066838350374,0.9527106466361855,0.3,45931
[10.0],[10.0],100,0.2365759961423389,-0.7313400511680361,0.9527106466361855,0.4,45931
[10.0],[10.0],100,0.7206668152040356,0.5712905689072311,0.9527106466361855,0.5,45931
[100.0],[100.0],100,0.6085812233977663,0.031329363308777905,0.9761414113660302,0.01,43674
[100.0],[100.0],100,0.8423565958361892,0.9663181583930667,0.9761414113660302,0.1,43674
[100.0],[100.0],100,0.3403009501386672,-0.4307520582773425,0.9761414113660302,0.2,43674
[100.0],[100.0],100,0.029723851933826245,-1.9033794876609857,0.9761414113660302,0.3,43674
[100.0],[100.0],100,0.8863707139275472,1.193044727226539,0.9761414113660302,0.4,43674
[100.0],[100.0],100,0.015621986240052019,-2.1675688823901718,0.9761414113660302,0.5,43674
[1000.0],[1000.0],100,1.0000000000042149,1.4350736238144035,0.96777668493279,0.01,42702
[1000.0],[1000.0],100,0.03005273293564239,-1.9404760552683809,0.96777668493279,0.1,42702
[1000.0],[1000.0],100,0.22676221393298426,-0.7699605566692235,0.96777668493279,0.2,42702
[1000.0],[1000.0],100,0.3026658923665325,-0.5326184009488351,0.96777668493279,0.3,42702
[1000.0],[1000.0],100,0.9676499803730787,1.8322919714085022,0.96777668493279,0.4,42702
[1000.0],[1000.0],100,0.8255864202173112,0.9229310937481819,0.96777668493279,0.5,42702
[10000.0],[10000.0],100,0.7958324060392237,0.4618400530160529,0.9860215636343934,0.01,36915
[10000.0],[10000.0],100,0.2750426007764662,-0.6338106734243072,0.9860215636343934,0.1,36915
[10000.0],[10000.0],100,0.23294979785505848,-0.7508451687541506,0.9860215636343934,0.2,36915
[10000.0],[10000.0],100,0.8141036378629205,0.8755620447766547,0.9860215636343934,0.3,36915
[10000.0],[10000.0],100,0.8109906333946217,0.8661312418179122,0.9860215636343934,0.4,36915
[10000.0],[10000.0],100,0.6744515918144063,0.4374027284087786,0.9860215636343934,0.5,36915
[0.0],[0.0],100,0.9999999999986043,0.484776510704951,1.0,0.01,3927
[0.0],[0.0],100,0.33693911968288315,-0.5296973265148512,1.0,0.1,3927
[0.0],[0.0],100,0.6958633857152765,0.44886500205257546,1.0,0.2,3927
[0.0],[0.0],100,0.4251998401191608,-0.23996100656173786,1.0,0.3,3927
[0.0],[0.0],100,0.9135444262150336,1.3150375429500405,1.0,0.4,3927
[0.0],[0.0],100,0.08972568922351927,-1.3871946279211196,1.0,0.5,3927
