['1']; control; 2; 1.4796759740262996e-48; -15.15010375054281; 0.8434957596665229; 304.133883
['1']; control; 5; 1.4231806559828177e-54; -16.119530469109076; 0.9897082075607302; 475.072577
['1']; control; 10; 9.352211221111475e-56; -16.306092353893966; 0.9999425039528532; 730.788865
['1']; control; 100; 7.0692286967077e-85; -20.409060510936836; 0.9999712519764267; 1789.741715
['1']; control; 500; 2.4874226655400445e-79; -19.68745973589634; 0.9999712519764267; 3054.518104
['1']; control; None; 5.6362429305043495e-87; -20.676187864726707; 1.0; 47040.654512
['2']; control; 2; 0.0; -41.302823255198; 0.8539237668161435; 159.177170
['2']; control; 5; 0.0; -42.21620162274255; 0.9999252615844544; 282.196304
['2']; control; 10; 0.0; -44.77166604905479; 0.9999252615844544; 389.502596
['2']; control; 100; 0.0; -47.930504020468526; 0.9999252615844544; 972.896166
['2']; control; 500; 0.0; -48.92429574181217; 0.9999252615844544; 1899.506486
['2']; control; None; 0.0; -48.89306411555329; 1.0; 23926.329731
