,Cell type,P,Z,m,n
2,Fibroblasts,2.9711579381820682e-61,-16.522780156864748,737,316
5,T cells,3.791349518348953e-34,-12.425853053131537,622,257
1,Plasmablasts and Plasma cells,9.757210280289008e-26,-11.065929602797013,1000,314
9,Epithelial cells,4.844344481588939e-14,-7.599139587892645,215,104
0,Endothelial cells,9.098877995551793e-11,-7.566183241451524,405,72
8,Mast cells,1.6167068634416392e-11,-7.065438879830723,169,59
10,Proliferative germinal center B cells,2.284335678350408e-05,-5.151546421917908,263,37
6,Erythrophagocytic macrophages,1.6924744944327717e-06,-5.11998883927355,288,82
3,B cells,0.09348469371942512,-1.6965617225204856,26,22
7,CD16+ NK cells,0.5787741670094616,-0.4629100498862758,11,8
4,Classical monocytes,0.7070938215102955,-0.0506369683541835,14,10
