test_group; k; p; z; s; t
6; 2; 1.288176308123454e-18; -8.746100626919322; 0.721030042918455; 6.903429
24; 2; 2.4697147464583785e-33; -12.698317153613367; 0.7437943262411347; 7.721586
6; 5; 6.197022476680664e-20; -9.0599219816321; 1.0; 6.545803
24; 5; 1.270167069215933e-35; -13.10428049917232; 1.0; 36.018117
6; 10; 2.0992732851878993e-25; -10.286964308398336; 1.0; 10.677259
24; 10; 6.612753875378934e-40; -13.921011726215067; 1.0; 65.591115
6; 15; 6.58483796506796e-26; -10.389910528604581; 1.0; 14.014915
24; 15; 1.3275327439030291e-42; -14.411050462440713; 1.0; 87.458711
6; None; 2.7431783701261806e-20; -9.146169354422574; 1.0; 441.857979
24; None; 2.200228070368909e-32; -12.450895517538124; 1.0; 7418.675645
