test_group; k; p; z; s; t
D1.5; control; 2; 3.7542119555223115e-133; -22.708579373508567; 0.729; 19.170935
D2; control; 2; 8.59408613274224e-170; -24.879233244807043; 0.715; 10.608256
D2.5; control; 2; 3.6564518193103867e-178; -25.404197030043438; 0.734; 10.634682
D3; control; 2; 7.580714690372415e-206; -26.640736849521456; 0.737; 10.925385
D3.5; control; 2; 3.523572078816163e-212; -26.71181851110657; 0.721; 9.263619
D4; control; 2; 1.91208555236347e-220; -27.138627592148197; 0.74; 10.108284
D4.5; control; 2; 1.8603323968672958e-217; -26.953763801435418; 0.73; 9.834540
D5; control; 2; 1.2509957278094615e-219; -26.990761861233413; 0.728; 10.980605
D5.5; control; 2; 1.4051374934647015e-220; -27.046268384529327; 0.731; 11.008275
D6; control; 2; 1.17269498526852e-229; -27.595290002068396; 0.761; 13.158415
D6.5; control; 2; 3.314896889754618e-218; -26.897958789762146; 0.723; 10.136779
D7; control; 2; 3.131485171136758e-221; -27.083205179583747; 0.733; 10.560994
D7.5; control; 2; 1.9571727975890226e-222; -27.156951278983545; 0.737; 10.040923
D8; control; 2; 1.5482147549422754e-214; -26.93592649431001; 0.737; 9.700587
D8.5; control; 2; 1.6084986390542727e-216; -26.898047432235593; 0.727; 10.438520
D9; control; 2; 1.289803087711029e-217; -26.860752665521158; 0.721; 10.207945
D9.5; control; 2; 2.2575834989038572e-228; -27.522736254708185; 0.757; 9.835671
D10; control; 2; 1.0916782913240335e-222; -27.359107740561505; 0.756; 9.333483
D10.5; control; 2; 3.511737413945077e-221; -27.083216760010757; 0.733; 9.068369
D11; control; 2; 1.7237393690881884e-218; -27.10205086235578; 0.742; 9.841206
D11.5; control; 2; 2.2805637778419964e-219; -27.083259390413705; 0.737; 9.469880
D12; control; 2; 4.3510285557942804e-226; -27.395313701679036; 0.75; 9.955811
D12.5; control; 2; 4.197166704996707e-228; -27.61345853586849; 0.766; 9.809381
D13; control; 2; 5.7587183212644695e-232; -27.739885075381967; 0.769; 10.936425
D13.5; control; 2; 4.941967362970407e-223; -27.30391208988558; 0.749; 9.792034
D14; control; 2; 4.657576572071049e-219; -27.138900849999285; 0.744; 9.154893
D14.5; control; 2; 1.209233811563428e-227; -27.486406949322163; 0.755; 9.786997
D15; control; 2; 2.949254556190995e-226; -27.577515541993794; 0.768; 10.231150
D15.5; control; 2; 3.520965261494078e-224; -27.377051128437284; 0.753; 10.189707
D16; control; 2; 6.8951661078720495e-230; -27.6134185429062; 0.762; 9.787240
D16.5; control; 2; 4.491744768951331e-223; -27.212190292155753; 0.74; 9.384006
D17; control; 2; 5.284081877194862e-225; -27.322184112661013; 0.746; 9.926573
D17.5; control; 2; 5.104133474708144e-218; -27.213677038674344; 0.756; 9.629684
D18; control; 2; 2.9632099789802063e-226; -27.395276141223036; 0.75; 8.999454
control; control; 2; 1.0; nan; 0.648; 7.833334
