t_NN [s],t_matching [s],peak_ram_gb,num_edges,metric,n_obs,n_var,file,k,slurm_job_id,slurm_array_idx
41.299834966659546,3.039494037628174,1.9492378234863281,104956,sqeuclidean,10000,1000,sim_N10000_h1000.h5ad,10,1236445,3
39.45813751220703,3.628483295440674,1.8662605285644531,84052,sqeuclidean,10000,10,sim_N10000_h10.h5ad,10,1236442,0
43.834969997406006,6.366124629974365,1.9536972045898438,745910,sqeuclidean,10000,10,sim_N10000_h10.h5ad,100,1236443,1
57.39387345314026,4.588202238082886,2.012451171875,889212,sqeuclidean,10000,1000,sim_N10000_h1000.h5ad,100,1236447,4
40.714162826538086,2.68804669380188,2.094127655029297,105221,sqeuclidean,10000,2000,sim_N10000_h2000.h5ad,10,1236452,6
67.62653541564941,4.364234209060669,2.1339569091796875,892175,sqeuclidean,10000,2000,sim_N10000_h2000.h5ad,100,1236457,7
39.67410707473755,2.864197015762329,1.8858604431152344,103646,sqeuclidean,10000,500,sim_N10000_h500.h5ad,10,1236469,9
49.021167039871216,4.2026519775390625,1.974609375,876181,sqeuclidean,10000,500,sim_N10000_h500.h5ad,100,1236475,10
881.4927723407745,88.29687738418579,6.3652191162109375,31568981,sqeuclidean,10000,10,sim_N10000_h10.h5ad,5000,1236444,2
12.192426204681396,0.0576779842376709,1.7144622802734375,6780,sqeuclidean,1000,10,sim_N1000_h10.h5ad,10,1236538,12
876.9531598091125,57.23707175254822,6.44146728515625,31739925,sqeuclidean,10000,1000,sim_N10000_h1000.h5ad,5000,1236451,5
12.301640033721924,0.10243868827819824,1.7176666259765625,70838,sqeuclidean,1000,10,sim_N1000_h10.h5ad,100,1236540,13
12.240419387817383,0.04840803146362305,1.72015380859375,7880,sqeuclidean,1000,1000,sim_N1000_h1000.h5ad,10,1236544,15
12.015021562576294,0.24317073822021484,1.7753639221191406,315872,sqeuclidean,1000,10,sim_N1000_h10.h5ad,5000,1236543,14
11.846896648406982,0.0967710018157959,1.7425918579101562,76651,sqeuclidean,1000,1000,sim_N1000_h1000.h5ad,100,1236547,16
12.281018495559692,0.2534322738647461,1.7816810607910156,317071,sqeuclidean,1000,1000,sim_N1000_h1000.h5ad,5000,1236548,17
11.819010734558105,0.0446629524230957,1.736114501953125,7841,sqeuclidean,1000,2000,sim_N1000_h2000.h5ad,10,1236553,18
12.086931705474854,0.09835052490234375,1.7376632690429688,76430,sqeuclidean,1000,2000,sim_N1000_h2000.h5ad,100,1236554,19
12.35570740699768,0.02805781364440918,1.7169570922851562,7993,sqeuclidean,1000,500,sim_N1000_h500.h5ad,10,1236558,21
12.435573101043701,0.25397515296936035,1.804718017578125,316336,sqeuclidean,1000,2000,sim_N1000_h2000.h5ad,5000,1236557,20
970.8155059814453,58.0334689617157,6.509986877441406,31751192,sqeuclidean,10000,2000,sim_N10000_h2000.h5ad,5000,1236458,8
12.13940167427063,0.10651397705078125,1.7421035766601562,76689,sqeuclidean,1000,500,sim_N1000_h500.h5ad,100,1236564,22
12.330572128295898,0.22878551483154297,1.77850341796875,316635,sqeuclidean,1000,500,sim_N1000_h500.h5ad,5000,1236565,23
39.77391529083252,18.396671533584595,1.8486862182617188,167739,sqeuclidean,20000,10,sim_N20000_h10.h5ad,10,1236567,24
51.34680533409119,29.159384965896606,2.0681495666503906,1503820,sqeuclidean,20000,10,sim_N20000_h10.h5ad,100,1236568,25
843.2616403102875,56.59588670730591,6.402027130126953,31732150,sqeuclidean,10000,500,sim_N10000_h500.h5ad,5000,1236485,11
41.18907904624939,11.696571826934814,2.082256317138672,210797,sqeuclidean,20000,1000,sim_N20000_h1000.h5ad,10,1236575,27
74.76704668998718,16.40357804298401,2.2077407836914062,1816890,sqeuclidean,20000,1000,sim_N20000_h1000.h5ad,100,1236579,28
42.671940326690674,11.14271092414856,2.3966293334960938,211874,sqeuclidean,20000,2000,sim_N20000_h2000.h5ad,10,1236590,30
102.1676664352417,16.210312128067017,2.4356155395507812,1831233,sqeuclidean,20000,2000,sim_N20000_h2000.h5ad,100,1236595,31
40.4525580406189,11.397258996963501,1.9259757995605469,209710,sqeuclidean,20000,500,sim_N20000_h500.h5ad,10,1236612,33
61.20757007598877,15.465822219848633,2.1256141662597656,1804818,sqeuclidean,20000,500,sim_N20000_h500.h5ad,100,1236615,34
1893.9020822048187,310.7572054862976,11.879493713378906,68433123,sqeuclidean,20000,10,sim_N20000_h10.h5ad,5000,1236569,26
12.35080599784851,0.17895793914794922,1.708770751953125,13550,sqeuclidean,2000,10,sim_N2000_h10.h5ad,10,1236788,36
12.470054388046265,0.2949795722961426,1.7363967895507812,144360,sqeuclidean,2000,10,sim_N2000_h10.h5ad,100,1236794,37
12.61833143234253,1.3304669857025146,1.9733390808105469,1261557,sqeuclidean,2000,10,sim_N2000_h10.h5ad,5000,1236798,38
12.107792854309082,0.10975432395935059,1.7512359619140625,16245,sqeuclidean,2000,1000,sim_N2000_h1000.h5ad,10,1236800,39
12.489120244979858,0.22829723358154297,1.7657966613769531,161816,sqeuclidean,2000,1000,sim_N2000_h1000.h5ad,100,1236801,40
12.807350873947144,1.249922513961792,2.011760711669922,1271817,sqeuclidean,2000,1000,sim_N2000_h1000.h5ad,5000,1236808,41
12.228581428527832,0.08282470703125,1.7743072509765625,16206,sqeuclidean,2000,2000,sim_N2000_h2000.h5ad,10,1236815,42
12.423372745513916,0.2231767177581787,1.8046531677246094,161642,sqeuclidean,2000,2000,sim_N2000_h2000.h5ad,100,1236817,43
12.755483865737915,1.2845110893249512,2.0337982177734375,1268347,sqeuclidean,2000,2000,sim_N2000_h2000.h5ad,5000,1236822,44
2209.0312366485596,173.477605342865,12.140106201171875,70889608,sqeuclidean,20000,1000,sim_N20000_h1000.h5ad,5000,1236580,29
12.145412683486938,0.08389163017272949,1.726318359375,16012,sqeuclidean,2000,500,sim_N2000_h500.h5ad,10,1236826,45
12.572954416275024,0.2621729373931885,1.7693099975585938,160393,sqeuclidean,2000,500,sim_N2000_h500.h5ad,100,1236828,46
12.95801830291748,1.3206069469451904,2.0039634704589844,1266489,sqeuclidean,2000,500,sim_N2000_h500.h5ad,5000,1236829,47
2332.0902094841003,166.60344219207764,12.287506103515625,71129453,sqeuclidean,20000,2000,sim_N20000_h2000.h5ad,5000,1236597,32
2062.0690999031067,159.0101706981659,12.039867401123047,70800833,sqeuclidean,20000,500,sim_N20000_h500.h5ad,5000,1236627,35
42.09674906730652,215.62409925460815,1.9132804870605469,415485,sqeuclidean,50000,10,sim_N50000_h10.h5ad,10,1236832,48
65.00016403198242,220.5727379322052,2.407886505126953,3738286,sqeuclidean,50000,10,sim_N50000_h10.h5ad,100,1236833,49
48.487284898757935,76.33153653144836,2.647918701171875,531150,sqeuclidean,50000,1000,sim_N50000_h1000.h5ad,10,1236858,51
52.51631951332092,71.44124627113342,3.521636962890625,533832,sqeuclidean,50000,2000,sim_N50000_h2000.h5ad,10,1236871,54
138.63700795173645,101.41289567947388,2.832050323486328,4687252,sqeuclidean,50000,1000,sim_N50000_h1000.h5ad,100,1236862,52
44.77314209938049,74.8513867855072,2.2282791137695312,529505,sqeuclidean,50000,500,sim_N50000_h500.h5ad,10,1236885,57
215.11189723014832,98.71487545967102,3.5096359252929688,4723316,sqeuclidean,50000,2000,sim_N50000_h2000.h5ad,100,1236872,55
40.68338656425476,1.4554650783538818,1.828521728515625,42307,sqeuclidean,5000,10,sim_N5000_h10.h5ad,10,1236902,60
101.4333713054657,95.59678816795349,2.6411285400390625,4654319,sqeuclidean,50000,500,sim_N50000_h500.h5ad,100,1236890,58
