t_NN [s],t_matching [s],peak_ram_gb,num_edges,metric,relative_support,n_obs,n_var,file,k,slurm_job_id,slurm_array_idx
40.66886591911316,3.7060019969940186,1.8596534729003906,84052,sqeuclidean,0.9994,10000,10,sim_N10000_h10.h5ad,10,1384653,0
39.69975781440735,4.900520324707031,1.8778953552246094,157686,sqeuclidean,0.9998,10000,10,sim_N10000_h10.h5ad,20,1384654,1
41.59900403022766,5.54384708404541,1.9086074829101562,378636,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,50,1384658,2
44.93216371536255,6.555231332778931,1.9385910034179688,745910,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,100,1384659,3
48.09090995788574,7.728080987930298,2.048603057861328,1476730,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,200,1384668,4
65.81969976425171,13.351219415664673,2.403156280517578,3631963,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,500,1384669,5
104.62586665153503,20.63359832763672,2.8524093627929688,7127454,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,1000,1384673,6
41.09092831611633,2.9882049560546875,1.9616203308105469,104956,sqeuclidean,0.9282,10000,1000,sim_N10000_h1000.h5ad,10,1384685,9
41.336618185043335,3.220327615737915,1.9417648315429688,197750,sqeuclidean,0.9714,10000,1000,sim_N10000_h1000.h5ad,20,1384686,10
41.011810064315796,2.7150955200195312,2.061786651611328,105221,sqeuclidean,0.8926,10000,2000,sim_N10000_h2000.h5ad,10,1384694,18
42.40041708946228,3.0445828437805176,2.0685081481933594,198366,sqeuclidean,0.9418,10000,2000,sim_N10000_h2000.h5ad,20,1384695,19
46.581912994384766,3.7026898860931396,2.010711669921875,461711,sqeuclidean,0.9944,10000,1000,sim_N10000_h1000.h5ad,50,1384687,11
51.65650916099548,3.5962438583374023,2.1252670288085938,463707,sqeuclidean,0.987,10000,2000,sim_N10000_h2000.h5ad,50,1384696,20
55.453181982040405,4.42637825012207,2.0131072998046875,889212,sqeuclidean,0.9972,10000,1000,sim_N10000_h1000.h5ad,100,1384688,12
68.52545547485352,4.4183080196380615,2.1185035705566406,892175,sqeuclidean,0.994,10000,2000,sim_N10000_h2000.h5ad,100,1384697,21
40.438087701797485,2.881556272506714,1.9108467102050781,103646,sqeuclidean,0.947,10000,500,sim_N10000_h500.h5ad,10,1384703,27
77.4409875869751,6.586779594421387,2.1560630798339844,1717125,sqeuclidean,0.9988,10000,1000,sim_N10000_h1000.h5ad,200,1384689,13
40.79871106147766,3.1894683837890625,1.9221115112304688,194931,sqeuclidean,0.978,10000,500,sim_N10000_h500.h5ad,20,1384704,28
44.01646542549133,3.5420265197753906,1.9699935913085938,454501,sqeuclidean,0.9932,10000,500,sim_N10000_h500.h5ad,50,1384705,29
98.17616367340088,6.054328441619873,2.2158050537109375,1722235,sqeuclidean,0.9976,10000,2000,sim_N10000_h2000.h5ad,200,1384698,22
49.81087684631348,4.111183166503906,1.9930152893066406,876181,sqeuclidean,0.9966,10000,500,sim_N10000_h500.h5ad,100,1384706,30
12.616246938705444,0.05289125442504883,1.7391891479492188,6780,sqeuclidean,1.0,1000,10,sim_N1000_h10.h5ad,10,1384713,36
11.742737293243408,0.05482339859008789,1.7502822875976562,14096,sqeuclidean,1.0,1000,10,sim_N1000_h10.h5ad,20,1384714,37
11.844335794448853,0.07140445709228516,1.737030029296875,35696,sqeuclidean,1.0,1000,10,sim_N1000_h10.h5ad,50,1384715,38
11.783191919326782,0.06787490844726562,1.7461318969726562,70838,sqeuclidean,1.0,1000,10,sim_N1000_h10.h5ad,100,1384716,39
61.19707679748535,5.769359111785889,2.1219444274902344,1695019,sqeuclidean,0.999,10000,500,sim_N10000_h500.h5ad,200,1384707,31
11.605125427246094,0.12956976890563965,1.7515106201171875,137951,sqeuclidean,1.0,1000,10,sim_N1000_h10.h5ad,200,1384717,40
12.957552909851074,0.22048377990722656,1.7957496643066406,315351,sqeuclidean,1.0,1000,10,sim_N1000_h10.h5ad,500,1384718,41
131.87186360359192,10.713727474212646,2.5037498474121094,4078641,sqeuclidean,0.9996,10000,1000,sim_N10000_h1000.h5ad,500,1384690,14
12.088309288024902,0.28839945793151855,1.8640403747558594,499500,sqeuclidean,1.0,1000,10,sim_N1000_h10.h5ad,1000,1384719,42
11.661038637161255,0.043422698974609375,1.7620620727539062,7880,sqeuclidean,0.938,1000,1000,sim_N1000_h1000.h5ad,10,1384722,45
12.082907438278198,0.2287905216217041,1.7995986938476562,315872,sqeuclidean,1.0,1000,10,sim_N1000_h10.h5ad,2000,1384720,43
11.560139179229736,0.05193805694580078,1.7474212646484375,16178,sqeuclidean,0.972,1000,1000,sim_N1000_h1000.h5ad,20,1384723,46
