t_NN [s],t_matching [s],peak_ram_gb,num_edges,metric,relative_support,n_obs,n_var,file,k,slurm_job_id,slurm_array_idx
39.67017889022827,1.5403738021850586,1.8487167358398438,89307,sqeuclidean,0.6572,10000,10,sim_N10000_h10.h5ad,10,1383257,0
39.93794512748718,2.411775588989258,1.8695869445800781,171894,sqeuclidean,0.6414,10000,10,sim_N10000_h10.h5ad,20,1383258,1
40.741992712020874,6.671076059341431,1.9240646362304688,405107,sqeuclidean,0.7574,10000,10,sim_N10000_h10.h5ad,50,1383259,2
46.54746699333191,3.3211119174957275,2.3488807678222656,1209380,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,200,1383262,4
42.88408279418945,12.455618143081665,2.282459259033203,646011,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,100,1383261,3
62.470521688461304,7.546854496002197,2.3874969482421875,2834228,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,500,1383263,5
116.11054873466492,19.162505865097046,2.6482391357421875,5603074,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,1000,1383264,6
40.90796256065369,22.34866428375244,1.9714088439941406,103041,sqeuclidean,0.9722,10000,1000,sim_N10000_h1000.h5ad,10,1383267,9
41.8553683757782,48.727041482925415,1.9739418029785156,191882,sqeuclidean,1.0,10000,1000,sim_N10000_h1000.h5ad,20,1383268,10
322.5080451965332,76.82350444793701,3.6472129821777344,12976370,sqeuclidean,1.0,10000,10,sim_N10000_h10.h5ad,2000,1383265,7
45.550562620162964,72.42807674407959,2.0584564208984375,449622,sqeuclidean,1.0,10000,1000,sim_N10000_h1000.h5ad,50,1383269,11
55.02930665016174,79.20558404922485,2.2030868530273438,892791,sqeuclidean,1.0,10000,1000,sim_N10000_h1000.h5ad,100,1383270,12
76.57480573654175,93.86524295806885,2.2919960021972656,1855641,sqeuclidean,1.0,10000,1000,sim_N10000_h1000.h5ad,200,1383271,13
131.54294157028198,131.47725415229797,2.547557830810547,4722609,sqeuclidean,1.0,10000,1000,sim_N10000_h1000.h5ad,500,1383272,14
