t_NN [s],t_matching [s],peak_ram_gb,num_edges,n_obs,n_var,file,k,slurm_job_id,slurm_array_idx
40.44436311721802,1.424081563949585,1.8588180541992188,90466,10000,10,sim_N10000_h10.h5ad,10,1234640,0
40.66098093986511,1.99349045753479,1.8857383728027344,174783,10000,10,sim_N10000_h10.h5ad,20,1234641,1
41.015979528427124,5.662211179733276,1.930908203125,412590,10000,10,sim_N10000_h10.h5ad,50,1234642,2
45.69458484649658,4.1249754428863525,2.3579978942871094,1210349,10000,10,sim_N10000_h10.h5ad,200,1234644,4
42.406726121902466,13.500334978103638,2.274547576904297,662706,10000,10,sim_N10000_h10.h5ad,100,1234643,3
40.75788235664368,14.418592929840088,1.9753608703613281,101943,10000,1000,sim_N10000_h1000.h5ad,10,1234656,9
66.52603793144226,12.011088371276855,2.396869659423828,2817373,10000,10,sim_N10000_h10.h5ad,500,1234652,5
115.1339921951294,24.06232500076294,2.7124252319335938,5465196,10000,10,sim_N10000_h10.h5ad,1000,1234653,6
41.14503502845764,25.110391855239868,1.9849205017089844,189235,10000,1000,sim_N10000_h1000.h5ad,20,1234668,10
46.80412483215332,35.819018840789795,2.0716018676757812,440841,10000,1000,sim_N10000_h1000.h5ad,50,1234671,11
54.44537830352783,39.86880683898926,2.2153244018554688,876706,10000,1000,sim_N10000_h1000.h5ad,100,1234675,12
76.6650550365448,47.024641275405884,2.293071746826172,1836851,10000,1000,sim_N10000_h1000.h5ad,200,1234676,13
337.90944480895996,90.4538414478302,3.703540802001953,12764940,10000,10,sim_N10000_h10.h5ad,2000,1234654,7
133.7275686264038,70.05845427513123,2.587799072265625,4706989,10000,1000,sim_N10000_h1000.h5ad,500,1234683,14
42.527989625930786,15.727025270462036,2.1511154174804688,102031,10000,2000,sim_N10000_h2000.h5ad,10,1234712,18
224.53340363502502,99.21254515647888,3.2139320373535156,9306258,10000,1000,sim_N10000_h1000.h5ad,1000,1234693,15
44.02160167694092,19.21339511871338,2.126171112060547,189830,10000,2000,sim_N10000_h2000.h5ad,20,1234720,19
49.80368137359619,29.000665426254272,2.1847152709960938,448081,10000,2000,sim_N10000_h2000.h5ad,50,1234732,20
65.23203539848328,33.993966579437256,2.346343994140625,896770,10000,2000,sim_N10000_h2000.h5ad,100,1234733,21
92.01091122627258,37.841593503952026,2.3902969360351562,1855789,10000,2000,sim_N10000_h2000.h5ad,200,1234745,22
445.6407914161682,162.0720374584198,4.40679931640625,17775114,10000,1000,sim_N10000_h1000.h5ad,2000,1234697,16
142.74127745628357,69.40514159202576,2.6825637817382812,4725243,10000,2000,sim_N10000_h2000.h5ad,500,1234746,23
228.08044028282166,111.88048219680786,3.28765869140625,9317358,10000,2000,sim_N10000_h2000.h5ad,1000,1234761,24
39.87043285369873,17.838545322418213,1.9021415710449219,101798,10000,500,sim_N10000_h500.h5ad,10,1234799,27
40.17381477355957,26.908895254135132,1.9268264770507812,190232,10000,500,sim_N10000_h500.h5ad,20,1234812,28
43.480647802352905,33.00490188598633,1.9859619140625,449881,10000,500,sim_N10000_h500.h5ad,50,1234821,29
495.56021881103516,174.91540431976318,4.506595611572266,17772493,10000,2000,sim_N10000_h2000.h5ad,2000,1234765,25
50.019591331481934,32.7358295917511,2.109302520751953,900242,10000,500,sim_N10000_h500.h5ad,100,1234832,30
65.69865202903748,40.34428143501282,2.199077606201172,1860325,10000,500,sim_N10000_h500.h5ad,200,1234838,31
114.8576831817627,62.058354139328,2.52325439453125,4721536,10000,500,sim_N10000_h500.h5ad,500,1234843,32
1254.5579884052277,278.1021671295166,7.138111114501953,37313031,10000,1000,sim_N10000_h1000.h5ad,5000,1234707,17
204.7362711429596,97.46171689033508,3.179492950439453,9301466,10000,500,sim_N10000_h500.h5ad,1000,1234854,33
11.95146632194519,0.022977352142333984,1.7594223022460938,8767,1000,10,sim_N1000_h10.h5ad,10,1234891,36
11.873855829238892,0.0314023494720459,1.75701904296875,18533,1000,10,sim_N1000_h10.h5ad,20,1234894,37
12.044421434402466,0.06785368919372559,1.7577896118164062,47522,1000,10,sim_N1000_h10.h5ad,50,1234899,38
12.106974840164185,0.20288348197937012,1.7679443359375,93847,1000,10,sim_N1000_h10.h5ad,100,1234901,39
1884.938048362732,358.185911655426,6.424568176269531,33035840,10000,10,sim_N10000_h10.h5ad,5000,1234655,8
13.33878493309021,0.6381611824035645,1.7599868774414062,178997,1000,10,sim_N1000_h10.h5ad,200,1234903,40
11.782550811767578,2.656898260116577,1.7798385620117188,374447,1000,10,sim_N1000_h10.h5ad,500,1234911,41
11.948745727539062,0.514542818069458,1.8189620971679688,500420,1000,10,sim_N1000_h10.h5ad,1000,1234915,42
12.182548761367798,2.560176372528076,1.8188858032226562,374948,1000,10,sim_N1000_h10.h5ad,2000,1234916,43
11.989915370941162,0.07624483108520508,1.7743606567382812,7938,1000,1000,sim_N1000_h1000.h5ad,10,1234922,45
11.855489253997803,2.527451515197754,1.7841758728027344,374948,1000,10,sim_N1000_h10.h5ad,5000,1234921,44
11.649547100067139,0.12220931053161621,1.7372283935546875,17520,1000,1000,sim_N1000_h1000.h5ad,20,1234923,46
11.905513525009155,0.23109650611877441,1.7871246337890625,46246,1000,1000,sim_N1000_h1000.h5ad,50,1234924,47
11.704237699508667,0.2780625820159912,1.753265380859375,92217,1000,1000,sim_N1000_h1000.h5ad,100,1234926,48
11.927856922149658,0.46004700660705566,1.8066940307617188,176670,1000,1000,sim_N1000_h1000.h5ad,200,1234927,49
11.795153379440308,0.6391153335571289,1.7980308532714844,372576,1000,1000,sim_N1000_h1000.h5ad,500,1234929,50
12.348242282867432,0.7725942134857178,1.8771934509277344,499500,1000,1000,sim_N1000_h1000.h5ad,1000,1234930,51
420.35567021369934,148.90984916687012,4.342655181884766,17756131,10000,500,sim_N10000_h500.h5ad,2000,1234867,34
11.80689811706543,0.6508915424346924,1.7999000549316406,373081,1000,1000,sim_N1000_h1000.h5ad,2000,1234935,52
12.111310005187988,0.6769425868988037,1.8399238586425781,373081,1000,1000,sim_N1000_h1000.h5ad,5000,1234936,53
11.783467054367065,0.12812399864196777,1.767486572265625,17618,1000,2000,sim_N1000_h2000.h5ad,20,1234942,55
11.827282667160034,0.1819460391998291,1.7840347290039062,46219,1000,2000,sim_N1000_h2000.h5ad,50,1234943,56
12.046993255615234,0.09718847274780273,1.7940826416015625,8072,1000,2000,sim_N1000_h2000.h5ad,10,1234941,54
