test_group; reference; k; p; z; s; t
D1.5; control; 5; 1.639679396453247e-190; -27.078140601810688; 1.0; 50.581702
D2; control; 5; 2.5817963591192528e-238; -29.48087041471748; 1.0; 39.291847
D2.5; control; 5; 1.2641879327442107e-232; -29.227951487043082; 1.0; 39.747903
D3; control; 5; 1.3915468178922564e-270; -30.745465053089475; 1.0; 41.604531
D3.5; control; 5; 1.811029162527712e-286; -31.251302908438273; 1.0; 39.906807
D4; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 41.798249
D4.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 42.786674
D5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 41.946745
D5.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 46.566266
D6; control; 5; 2.6380185262164872e-298; -31.551608556474573; 0.999; 41.729074
D6.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 41.847254
D7; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 36.997854
D7.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 25.939478
D8; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 24.972487
D8.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 24.266192
D9; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 23.237014
D9.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 24.473850
D10; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 23.639499
D10.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 23.833264
D11; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 26.772991
D11.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 24.623368
D12; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 23.891555
D12.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 23.540303
D13; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 24.114523
D13.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 24.829045
D14; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 21.819030
D14.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 21.258280
D15; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 22.810995
D15.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 23.677972
D16; control; 5; 1.3176915741756612e-295; -31.488347106668325; 0.999; 21.868279
D16.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 22.679920
D17; control; 5; 1.811029162527712e-286; -31.251302908438273; 1.0; 23.155482
D17.5; control; 5; 1.0915076281039957e-290; -31.361824270443964; 0.999; 25.649022
D18; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 22.845367
